
### maxopt_dynamic.log
	LiIon	Flywheel	Supercapacitor	Margin	Lookahead	Fitness	Cost	fluctuation	mean_periodic_fluctuation	max_bought	peak_power_sum	peak_power_count	sum_above_limit
344	6.0	0.0	0.0	0.1134	24.0	413.12	242.06	263.95	1.22	102.69	242.06	29.0	527.1
289	4.0	0.0	0.0	0.1134	24.0	413.12	242.06	267.26	1.24	102.69	242.06	29.0	527.1
343	2.0	0.0	0.0	0.1134	24.0	363.24	275.3	273.08	1.26	102.69	275.3	31.0	585.17

### peaksumopt_equalized.log
	LiIon	Flywheel	Supercapacitor	Lookahead	Fitness	Cost	fluctuation	mean_periodic_fluctuation	max_bought	peak_power_sum	peak_power_count	sum_above_limit
292	2.0	0.0	0.0	24.0	402.6	248.38	333.9	1.57	108.59	248.38	64.0	336.88
243	5.0	7.0	0.0	24.0	347.7	287.61	335.42	1.57	108.63	287.61	68.0	397.7
242	1.0	7.0	0.0	24.0	347.7	287.61	335.42	1.57	108.63	287.61	68.0	397.7
230	0.0	7.0	0.0	24.0	347.7	287.61	335.42	1.57	108.63	287.61	68.0	397.7
232	0.0	1.0	0.0	24.0	347.7	287.61	335.42	1.57	108.63	287.61	68.0	397.7
233	0.0	8.0	0.0	24.0	347.7	287.61	335.42	1.57	108.63	287.61	68.0	397.7

### peaksumopt_const.log
	LiIon	Flywheel	Supercapacitor	Margin	Fitness	Cost	fluctuation	mean_periodic_fluctuation	max_bought	peak_power_sum	peak_power_count	sum_above_limit
83	0.0	8.0	0.0	0.2	64.1	1560.06	392.2	1.83	113.8	1560.06	97.0	7097.57
249	9.0	6.0	0.0	0.1848	63.04	1586.22	369.45	1.71	113.8	1586.22	96.0	7186.77
222	7.0	7.0	0.0	0.1848	62.32	1604.68	371.1	1.72	113.8	1604.68	97.0	7312.69
288	8.0	8.0	0.0	0.1848	62.09	1610.68	367.69	1.7	113.8	1610.68	97.0	7338.39
305	7.0	8.0	0.0	0.1848	62.09	1610.68	368.72	1.71	113.8	1610.68	97.0	7338.39
202	9.0	8.0	0.0	0.1848	62.09	1610.68	366.24	1.69	113.8	1610.68	97.0	7338.39

### sumaboveopt_dynamic.log
	LiIon	Flywheel	Supercapacitor	Margin	Lookahead	Fitness	Cost	fluctuation	mean_periodic_fluctuation	max_bought	peak_power_sum	peak_power_count	sum_above_limit
195	9.0	0.0	0.0	0.1165	24.0	190.05	526.17	265.04	1.19	103.01	244.75	29.0	526.17
268	6.0	0.0	0.0	0.1187	24.0	189.88	526.66	273.65	1.23	103.23	246.28	30.0	526.66
207	7.0	0.0	0.0	0.1187	24.0	189.88	526.66	271.75	1.22	103.23	246.28	30.0	526.66
229	8.0	0.0	0.0	0.1041	24.0	188.62	530.16	246.35	1.1	101.73	229.43	22.0	530.16
120	7.0	1.0	0.0	0.1864	24.0	169.29	590.7	357.96	1.61	105.65	347.7	49.0	590.7
72	9.0	1.0	0.0	0.1864	24.0	169.29	590.7	357.96	1.61	105.65	347.7	49.0	590.7

### costopt_dynamic.log
	LiIon	Flywheel	Supercapacitor	Margin	Lookahead	Fitness	Cost	fluctuation	mean_periodic_fluctuation	max_bought	peak_power_sum	peak_power_count	sum_above_limit
212	0.0	0.0	0.0	0.187	24.0	0.48	209902.85	466.5	2.22	113.8	1566.8	203.0	3328.88
281	0.0	0.0	1.0	0.1026	24.0	0.47	213687.67	275.18	1.28	108.57	1317.8	128.0	3289.39
103	1.0	0.0	2.0	0.1431	24.0	0.46	219683.54	327.49	1.52	108.59	1066.86	128.0	2514.75
280	0.0	1.0	1.0	0.1431	24.0	0.46	219199.87	327.49	1.52	108.59	1066.86	128.0	2514.75
299	0.0	0.0	2.0	0.1026	24.0	0.46	217037.76	274.21	1.27	108.57	1313.31	128.0	3283.52
106	2.0	0.0	2.0	0.0609	24.0	0.45	222620.7	209.57	0.97	108.45	1606.87	137.0	4417.51
